ts,clock_mhz,load_pct
2026-09-05T19:30:20.3883830+07:00,1198,12
2026-09-05T19:30:26.5019482+07:00,1198,47
2026-09-05T19:30:32.5650298+07:00,1198,99
2026-09-05T19:30:38.6033916+07:00,1198,41
2026-09-05T19:30:44.6476421+07:00,1198,4
2026-09-05T19:30:50.7338169+07:00,1198,49
2026-09-05T19:30:56.7983777+07:00,1198,54
2026-09-05T19:31:02.9012585+07:00,1198,71
2026-09-05T19:31:08.9610657+07:00,1198,31
2026-09-05T19:31:15.0548167+07:00,1198,77
2026-09-05T19:31:21.1294200+07:00,1198,49
2026-09-05T19:31:27.1901183+07:00,1198,64
2026-09-05T19:31:33.2579793+07:00,1198,39
2026-09-05T19:31:39.3350632+07:00,1198,99
2026-09-05T19:31:45.4053081+07:00,1198,29
2026-09-05T19:31:51.4649824+07:00,1198,22
2026-09-05T19:31:57.6192989+07:00,1198,43
2026-09-05T19:32:03.6840748+07:00,1198,26
2026-09-05T19:32:09.7359759+07:00,1198,36
2026-09-05T19:32:15.8727626+07:00,1198,80
2026-09-05T19:32:21.9416900+07:00,1198,48
2026-09-05T19:32:28.0320736+07:00,1198,34
2026-09-05T19:32:34.1110659+07:00,1198,50
2026-09-05T19:32:40.2617486+07:00,1198,82
2026-09-05T19:32:46.3243934+07:00,1198,23
2026-09-05T19:32:52.3965674+07:00,1198,17
2026-09-05T19:32:58.4617552+07:00,1198,28
2026-09-05T19:33:04.5387843+07:00,1198,34
2026-09-05T19:33:10.6026408+07:00,1198,9
2026-09-05T19:33:16.6735924+07:00,1198,83
2026-09-05T19:33:22.7347818+07:00,1198,34
2026-09-05T19:33:28.7978389+07:00,1198,67
2026-09-05T19:33:34.8606715+07:00,1198,45
2026-09-05T19:33:40.9318338+07:00,1198,48
2026-09-05T19:33:48.6466337+07:00,1198,100
2026-09-05T19:33:56.2934694+07:00,1198,100
2026-09-05T19:34:03.5977455+07:00,1198,100
2026-09-05T19:34:10.8915581+07:00,1198,100
2026-09-05T19:34:17.0467229+07:00,1198,100
2026-09-05T19:34:23.1169664+07:00,1198,35
2026-09-05T19:34:29.1866296+07:00,1198,76
2026-09-05T19:34:35.2569503+07:00,1198,43
2026-09-05T19:34:41.3621677+07:00,1198,60
2026-09-05T19:34:47.4461770+07:00,1198,54
2026-09-05T19:34:53.6232251+07:00,1198,85
2026-09-05T19:34:59.6960208+07:00,1198,70
2026-09-05T19:35:05.7906548+07:00,1198,37
2026-09-05T19:35:11.8719918+07:00,1198,93
2026-09-05T19:35:17.9462705+07:00,1198,52
2026-09-05T19:35:24.0030441+07:00,1198,26
2026-09-05T19:35:30.0921006+07:00,1198,37
2026-09-05T19:35:36.1915504+07:00,1198,71
2026-09-05T19:35:42.2658491+07:00,1198,21
2026-09-05T19:35:48.3219561+07:00,1198,32
2026-09-05T19:35:54.3994417+07:00,1198,66
2026-09-05T19:36:00.4878986+07:00,1198,48
2026-09-05T19:36:06.5469106+07:00,1198,23
2026-09-05T19:36:12.6400267+07:00,1198,46
2026-09-05T19:36:18.7043790+07:00,1198,28
2026-09-05T19:36:24.7565875+07:00,1198,35
2026-09-05T19:36:30.8153250+07:00,1198,30
2026-09-05T19:36:36.9008141+07:00,1198,65
2026-09-05T19:36:42.9724295+07:00,1198,57
2026-09-05T19:36:49.0290249+07:00,1198,35
2026-09-05T19:36:55.0843650+07:00,1198,26
2026-09-05T19:37:01.1370377+07:00,1198,34
2026-09-05T19:37:07.1857185+07:00,1198,41
2026-09-05T19:37:13.2490831+07:00,1198,69
2026-09-05T19:37:19.3122994+07:00,1198,43
2026-09-05T19:37:25.3666113+07:00,1198,21
2026-09-05T19:37:31.4567425+07:00,1198,53
2026-09-05T19:37:37.5497696+07:00,1198,76
2026-09-05T19:37:43.6366210+07:00,1198,48
2026-09-05T19:37:49.7106210+07:00,1198,33
2026-09-05T19:37:55.7831618+07:00,1198,35
2026-09-05T19:38:01.8456809+07:00,1198,68
2026-09-05T19:38:07.9241064+07:00,1198,45
2026-09-05T19:38:14.0033978+07:00,1198,76
2026-09-05T19:38:20.0858228+07:00,1198,37
2026-09-05T19:38:26.1473479+07:00,1198,55
2026-09-05T19:38:32.2087562+07:00,1198,74
2026-09-05T19:38:38.2766318+07:00,1198,68
2026-09-05T19:38:44.3479883+07:00,1198,64
2026-09-05T19:38:50.5287304+07:00,1198,33
2026-09-05T19:38:56.6147293+07:00,1198,56
2026-09-05T19:39:02.6873995+07:00,1198,54
2026-09-05T19:39:08.8071019+07:00,1198,100
2026-09-05T19:39:14.8804478+07:00,1198,30
2026-09-05T19:39:20.9736421+07:00,1198,64
2026-09-05T19:39:27.0506762+07:00,1198,46
2026-09-05T19:39:33.1192378+07:00,1198,62
2026-09-05T19:39:39.2090447+07:00,1198,93
2026-09-05T19:39:45.2763433+07:00,1198,63
2026-09-05T19:39:51.3419025+07:00,1198,86
2026-09-05T19:39:57.4267670+07:00,1198,28
2026-09-05T19:40:03.5498826+07:00,1198,83
2026-09-05T19:40:09.6284026+07:00,1198,90
2026-09-05T19:40:15.7101029+07:00,1198,28
2026-09-05T19:40:21.7828517+07:00,1198,96
2026-09-05T19:40:27.8500022+07:00,1198,88
2026-09-05T19:40:33.9384395+07:00,1198,45
2026-09-05T19:40:40.0333437+07:00,1198,85
2026-09-05T19:40:46.0990280+07:00,1198,19
2026-09-05T19:40:52.1907393+07:00,1198,91
2026-09-05T19:40:58.2532107+07:00,1198,76
2026-09-05T19:41:04.3140393+07:00,1198,38
2026-09-05T19:41:10.3771656+07:00,1198,56
2026-09-05T19:41:16.4338639+07:00,1198,34
2026-09-05T19:41:22.5125106+07:00,1198,82
2026-09-05T19:41:28.5900488+07:00,1198,47
2026-09-05T19:41:34.6534094+07:00,1198,38
2026-09-05T19:41:40.7483967+07:00,1198,91
2026-09-05T19:41:46.8136298+07:00,1198,33
2026-09-05T19:41:52.8756711+07:00,1198,44
2026-09-05T19:41:58.9793106+07:00,1198,99
2026-09-05T19:42:05.2512800+07:00,1198,94
2026-09-05T19:42:11.3135236+07:00,1198,27
2026-09-05T19:42:17.3746148+07:00,1198,40
2026-09-05T19:42:23.4703992+07:00,1198,22
2026-09-05T19:42:29.5711206+07:00,1198,100
2026-09-05T19:42:35.8261659+07:00,1198,94
2026-09-05T19:42:41.9088520+07:00,1198,23
2026-09-05T19:42:47.9648000+07:00,1198,51
2026-09-05T19:42:54.0832487+07:00,1198,99
2026-09-05T19:43:00.1659382+07:00,1198,77
2026-09-05T19:43:06.2178711+07:00,1198,18
2026-09-05T19:43:12.2719012+07:00,1198,10
2026-09-05T19:43:18.3208966+07:00,1198,54
2026-09-05T19:43:24.4145261+07:00,1198,27
2026-09-05T19:43:30.5068388+07:00,1198,37
2026-09-05T19:43:36.5697954+07:00,1198,54
2026-09-05T19:43:42.6334189+07:00,1198,32
2026-09-05T19:43:48.6902386+07:00,1198,45
2026-09-05T19:43:54.7471124+07:00,1198,11
2026-09-05T19:44:00.7912852+07:00,1198,13
2026-09-05T19:44:06.8511894+07:00,1198,39
2026-09-05T19:44:12.9260827+07:00,1198,38
2026-09-05T19:44:19.0331690+07:00,1198,76
2026-09-05T19:44:25.1967109+07:00,1198,30
2026-09-05T19:44:31.2614429+07:00,1198,14
2026-09-05T19:44:37.3573616+07:00,1198,35
2026-09-05T19:44:43.4209725+07:00,1198,43
2026-09-05T19:44:49.5487092+07:00,1198,77
2026-09-05T19:44:55.6213172+07:00,1198,29
2026-09-05T19:45:01.7146708+07:00,1198,87
2026-09-05T19:45:07.8001962+07:00,1198,39
2026-09-05T19:45:13.9045968+07:00,1198,71
2026-09-05T19:45:20.0131956+07:00,1198,100
2026-09-05T19:45:26.1206831+07:00,1198,57
2026-09-05T19:45:32.1922248+07:00,1198,22
2026-09-05T19:45:38.2909582+07:00,1198,100
2026-09-05T19:45:44.3831535+07:00,1198,86
2026-09-05T19:45:50.4684984+07:00,1198,82
2026-09-05T19:45:56.5797939+07:00,1198,79
2026-09-05T19:46:02.6539669+07:00,1198,23
2026-09-05T19:46:08.7322228+07:00,1198,76
2026-09-05T19:46:14.8004016+07:00,1198,56
2026-09-05T19:46:20.8755014+07:00,1198,49
2026-09-05T19:46:26.9612087+07:00,1198,79
2026-09-05T19:46:33.1613962+07:00,1198,88
2026-09-05T19:46:39.2395819+07:00,1198,59
2026-09-05T19:46:45.3034064+07:00,1198,22
2026-09-05T19:46:51.3839545+07:00,1198,8
2026-09-05T19:46:57.4294148+07:00,1198,12
2026-09-05T19:47:03.4925826+07:00,1198,39
2026-09-05T19:47:09.5600525+07:00,1198,90
2026-09-05T19:47:15.6222363+07:00,1198,13
2026-09-05T19:47:21.6731098+07:00,1198,13
2026-09-05T19:47:27.7154168+07:00,1198,9
2026-09-05T19:47:33.7673729+07:00,1198,39
2026-09-05T19:47:39.8370160+07:00,1198,40
2026-09-05T19:47:45.8942818+07:00,1198,5
2026-09-05T19:47:51.9432469+07:00,1198,24
2026-09-05T19:47:58.0188924+07:00,1198,7
2026-09-05T19:48:04.0669970+07:00,1198,49
2026-09-05T19:48:10.1349109+07:00,1198,65
2026-09-05T19:48:16.1829935+07:00,1198,12
2026-09-05T19:48:22.2351131+07:00,1198,25
2026-09-05T19:48:28.2871217+07:00,1198,11
2026-09-05T19:48:34.3644095+07:00,1198,17
2026-09-05T19:48:40.4424484+07:00,1198,23
2026-09-05T19:48:46.4933776+07:00,1198,8
2026-09-05T19:48:52.5605022+07:00,1198,40
2026-09-05T19:48:58.6126773+07:00,1198,47
2026-09-05T19:49:04.6648062+07:00,1198,7
2026-09-05T19:49:10.7309783+07:00,1198,39
2026-09-05T19:49:16.7913180+07:00,1198,16
2026-09-05T19:49:22.8432276+07:00,1198,15
2026-09-05T19:49:28.8897702+07:00,1198,30
2026-09-05T19:49:34.9441998+07:00,1198,24
2026-09-05T19:49:41.0029751+07:00,1198,27
2026-09-05T19:49:47.0501520+07:00,1198,7
2026-09-05T19:49:53.0916899+07:00,1198,48
2026-09-05T19:49:59.1374025+07:00,1198,24
2026-09-05T19:50:05.1906583+07:00,1198,6
2026-09-05T19:50:11.2384480+07:00,1198,17
2026-09-05T19:50:17.2942824+07:00,1198,11
2026-09-05T19:50:23.3400721+07:00,1198,16
2026-09-05T19:50:29.3807461+07:00,1198,9
2026-09-05T19:50:35.4521103+07:00,1198,31
2026-09-05T19:50:41.5089131+07:00,1198,31
2026-09-05T19:50:47.5514363+07:00,1198,0
2026-09-05T19:50:53.6106750+07:00,1198,38
2026-09-05T19:50:59.6606354+07:00,1198,20
2026-09-05T19:51:05.7043071+07:00,1198,7
2026-09-05T19:51:11.7626714+07:00,1198,14
2026-09-05T19:51:17.8059576+07:00,1198,11
2026-09-05T19:51:23.8531231+07:00,1198,12
2026-09-05T19:51:29.8982469+07:00,1198,2
2026-09-05T19:51:35.9539544+07:00,1198,39
2026-09-05T19:51:42.0064660+07:00,1198,16
2026-09-05T19:51:48.0776754+07:00,1198,7
2026-09-05T19:51:54.1366060+07:00,1198,21
2026-09-05T19:52:00.1963045+07:00,1198,10
2026-09-05T19:52:06.2473245+07:00,1198,9
2026-09-05T19:52:12.2961819+07:00,1198,15
2026-09-05T19:52:18.3408644+07:00,1198,17
2026-09-05T19:52:24.3851880+07:00,1198,8
2026-09-05T19:52:30.4405228+07:00,1198,4
2026-09-05T19:52:36.4869147+07:00,1198,34
2026-09-05T19:52:42.5558851+07:00,1198,20
2026-09-05T19:52:48.6120080+07:00,1198,18
2026-09-05T19:52:54.6604508+07:00,1198,6
2026-09-05T19:53:00.7129258+07:00,1198,9
2026-09-05T19:53:06.7625153+07:00,1198,20
2026-09-05T19:53:12.8235458+07:00,1198,6
2026-09-05T19:53:18.8668346+07:00,1198,5
2026-09-05T19:53:24.9064108+07:00,1198,40
2026-09-05T19:53:30.9539755+07:00,1198,18
2026-09-05T19:53:37.0164747+07:00,1198,20
2026-09-05T19:53:43.0667965+07:00,1198,54
2026-09-05T19:53:49.1106575+07:00,1198,29
2026-09-05T19:53:55.1571860+07:00,1198,10
2026-09-05T19:54:01.2070760+07:00,1198,3
2026-09-05T19:54:07.2481002+07:00,1198,8
2026-09-05T19:54:13.2996385+07:00,1198,31
2026-09-05T19:54:19.3490412+07:00,1198,9
2026-09-05T19:54:25.4494469+07:00,1198,31
2026-09-05T19:54:31.5058224+07:00,1198,37
2026-09-05T19:54:37.5703769+07:00,1198,40
2026-09-05T19:54:43.6230134+07:00,1198,12
2026-09-05T19:54:49.7013506+07:00,1198,10
2026-09-05T19:54:55.7412662+07:00,1198,4
2026-09-05T19:55:01.7920903+07:00,1198,29
2026-09-05T19:55:07.8808984+07:00,1198,17
2026-09-05T19:55:13.9312362+07:00,1198,4
2026-09-05T19:55:19.9955242+07:00,1198,70
